index 154
DMU 100
input 3
output 3
instance 4
DMU   i1   i2   i3   o1   o2   o3   eff  err
  1   41   47   37   56   55   55    86   19
  2   46   22   47   44   46   44    99    9
  3   30   48   12   33   32   31    79    6
  4   25   10   22   28   29   27    83   13
  5   21   21   30   27   27   28    93    6
  6   33   33   18   41   41   39    76   18
  7   17   22   14   33   33   33    92   16
  8   36   20   12   29   30   27    66   13
  9   18   48   23   47   45   48    93   17
 10   16   42   17   43   41   43    89   18
 11   23   13   21   33   33   33    81   18
 12   33   40   17   22   22   21    64    1
 13   23   29   20   31   30   30    86    9
 14   16   47   15   30   28   30    84    5
 15   42   37   41   26   26   26    61    2
 16   42   33   25   26   26   24    66    3
 17   43   27   25   31   33   30    73    8
 18   13   39   21   43   41   44    91   19
 19   11   19   30   17   16   19    90    0
 20   20   23   23   30   30   30    63   16
 21   41   18   34   32   34   32    63   14
 22   30   35   30   22   22   22    69    0
 23   20   37   47   37   36   39    63   16
 24   47   20   24   40   42   38    80   16
 25   16   13   48   35   35   38    80   18
 26   30   27   48   48   48   50    89   19
 27   12   43   14   24   21   23    74    4
 28   19   18   27   31   31   32    79   15
 29   23   43   21   32   31   32    67   11
 30   45   19   21   31   33   29    64   13
 31   40   21   48   23   24   24    67    1
 32   40   40   13   48   49   45    82   20
 33   16   32   42   34   33   36    60   17
 34   18   45   27   33   31   34    91    4
 35   12   28   31   38   36   40    99   15
 36   38   29   22   35   36   34    76   12
 37   43   21   48   31   32   32    76    5
 38   19   29   48   39   37   41    69   18
 39   37   18   12   32   34   29    96   10
 40   36   29   19   35   36   33    92    8
 41   20   24   18   31   30   30    83   13
 42   31   36   29   38   38   38    88    9
 43   31   11   43   24   25   25    66    8
 44   47   43   16   41   43   38    92    6
 45   19   12   45   29   29   32    92    9
 46   35   11   44   20   21   21    73    1
 47   35   29   42   51   51   52    98   18
 48   22   29   38   29   28   30    86    4
 49   16   31   50   47   45   51    99   17
 50   40   18   50   34   35   35    81    8
 51   25   44   37   35   34   36    84    5
 52   16   12   45   21   21   24    80    5
 53   48   26   36   23   24   22    61    1
 54   40   40   24   56   56   54    98   20
 55   43   34   28   39   40   37    89    7
 56   18   28   36   34   33   36    77   14
 57   11   32   22   32   30   33    95   10
 58   45   44   34   44   44   42    89    6
 59   35   33   13   28   29   26    82    4
 60   34   25   38   43   43   43   100   12
 61   11   22   23   27   26   28    65   15
 62   47   32   12   50   53   47    93   20
 63   19   41   19   25   24   25    69    5
 64   39   22   23   24   26   23    69    5
 65   33   47   39   38   37   38    71    9
 66   14   43   46   42   39   45    77   16
 67   32   45   40   40   39   41    99    1
 68   23   26   49   37   37   39    68   17
 69   14   37   22   24   22   24    63    7
 70   44   25   18   41   43   39    75   19
 71   25   29   12   20   20   19    72    3
 72   47   32   30   42   43   41    65   18
 73   22   47   37   31   29   32    66    7
 74   20   24   30   24   24   25    85    4
 75   33   19   20   23   24   22    80    4
 76   50   36   38   49   51   48    91   12
 77   32   40   14   38   38   36    73   15
 78   31   13   24   14   16   14    63    1
 79   30   30   27   31   31   31    76    9
 80   36   42   41   41   41   41    73   12
 81   46   43   17   46   47   43    81   15
 82   49   25   27   41   43   39    83   13
 83   16   49   40   39   35   41    90    6
 84   34   44   20   49   48   47   100   13
 85   40   16   28   29   31   28    71   10
 86   13   35   25   36   35   37    67   19
 87   14   35   17   38   36   38    73   20
 88   37   43   32   45   45   44    83   13
 89   22   20   24   22   22   22    86    3
 90   35   31   32   33   33   33    67   11
 91   24   42   10   37   36   36    62   19
 92   32   10   11   24   26   22    97    7
 93   48   40   21   41   42   39    64   16
 94   21   22   34   22   22   23    82    2
 95   38   50   11   52   51   49    84   20
 96   33   37   38   27   26   27    69    2
 97   46   30   43   35   36   35    62   11
 98   39   44   42   40   39   40    64   13
 99   13   46   31   48   45   50    91   19
100   26   14   18   33   34   32    84   17
