index 331
DMU 30
input 5
output 5
instance 1
DMU   i1   i2   i3   i4   i5   o1   o2   o3   o4   o5   eff  err
  1   25   20   34   28   13   25   27   25   27   27    67   10
  2   33   11   45   44   44   41   40   39   42   41    80   12
  3   15   36   10   42   24   32   30   32   25   27    93    5
  4   32   31   50   25   36   43   46   44   49   49    96   12
  5   46   37   19   33   49   50   45   49   46   45    82   18
  6   30   48   16   20   33   38   36   40   36   37    98    9
  7   43   23   24   39   23   37   35   34   34   33    94    7
  8   10   21   29   14   17   12   14   13   14   15    62    2
  9   20   19   10   11   39   13   11   14   12   12    64    0
 10   40   41   11   41   49   36   31   35   29   29    74    6
 11   38   37   13   26   35   38   34   37   34   34    82   12
 12   25   24   42   39   37   33   34   33   34   34    89    3
 13   29   16   16   50   39   42   38   40   36   36    72   17
 14   48   21   31   12   42   27   26   27   31   29    92    1
 15   35   38   11   23   34   35   32   35   31   31    99    6
 16   20   18   33   45   26   21   21   20   20   20    67    1
 17   27   37   44   15   23   23   27   25   29   29    80    3
 18   43   39   13   10   34   37   34   37   36   35    80   15
 19   22   28   18   43   19   25   24   24   21   22    69    5
 20   34   48   47   15   20   37   42   39   43   44    84   13
 21   42   16   48   31   15   41   45   39   47   45    91   16
 22   26   18   16   14   13   28   28   27   28   28    64   17
 23   11   11   28   49   11   17   17   15   14   15    63    1
 24   28   46   30   45   37   41   40   41   38   39    63   16
 25   44   19   11   46   31   34   29   30   27   25    84    5
 26   22   41   45   10   48   30   33   35   36   38    83    6
 27   41   37   34   16   30   43   44   44   46   45    88   17
 28   28   30   25   41   29   39   38   38   37   37    62   19
 29   24   42   28   20   14   23   26   25   25   26    73    6
 30   45   32   41   44   29   46   47   45   46   46    74   18
