index 392
DMU 40
input 3
output 3
instance 2
DMU   i1   i2   i3   o1   o2   o3   eff  err
  1   11   37   36   46   42   41    90   17
  2   34   24   19   25   28   28    76    8
  3   42   30   11   30   36   36    88   12
  4   31   27   39   48   46   47    93   16
  5   48   16   33   39   40   42    90   11
  6   15   45   11   28   31   28    83   11
  7   28   49   20   31   35   32    89    6
  8   48   39   42   46   47   47    86   10
  9   16   50   11   38   42   39    90   19
 10   47   24   30   26   27   28    60    7
 11   41   25   44   39   37   39    64   14
 12   31   36   39   40   39   39    82   10
 13   23   23   11   11   13   12    61    1
 14   21   30   50   56   49   50    98   16
 15   15   19   36   45   41   41    93   19
 16   33   15   47   54   49   52    99   18
 17   36   44   19   32   36   35    89    7
 18   37   46   14   23   28   26    67    6
 19   12   38   17   29   30   28    70   14
 20   32   44   36   35   35   34    77    6
 21   35   12   41   32   29   31    66   10
 22   35   12   42   21   19   21    61    1
 23   21   48   42   37   35   33    83    4
 24   48   27   32   44   46   47    80   17
 25   21   22   31   27   25   25    85    4
 26   29   34   14   28   31   30    78   11
 27   22   24   43   35   30   31   100    0
 28   26   25   34   30   28   29    76    7
 29   47   34   28   47   50   50    85   19
 30   31   17   22   26   27   28    77    9
 31   43   29   18   27   32   32    83    7
 32   32   39   21   34   37   36    94    8
 33   41   28   48   56   53   55    97   15
 34   30   14   18   17   18   19    89    0
 35   26   36   12   25   29   27    84    8
 36   10   22   21   23   22   21    84    7
 37   34   17   38   30   28   30    75    6
 38   42   16   29   27   28   29    62   10
 39   20   31   49   34   30   30    62    9
 40   46   33   16   32   37   36    71   14
