index 516
DMU 250
input 3
output 3
instance 6
DMU   i1   i2   i3   o1   o2   o3   eff  err
  1   23   18   10   20   22   22    90    7
  2   11   35   44   51   48   48    90   19
  3   21   47   20   26   27   28    61    9
  4   27   46   50   47   45   44    95    4
  5   37   27   15   32   34   35    74   16
  6   47   26   22   41   43   43    90   16
  7   12   47   17   43   45   47    97   19
  8   28   11   21   32   32   31    71   18
  9   46   36   16   28   32   33    87    5
 10   21   29   44   47   44   44    99   12
 11   32   33   25   36   37   38    96    9
 12   37   26   33   32   32   31    78    7
 13   40   28   48   41   39   38    86    6
 14   19   25   22   32   33   33    74   16
 15   37   26   33   31   31   31    92    2
 16   44   41   18   39   43   44    97   11
 17   28   26   45   30   28   28    63    7
 18   42   26   43   36   35   34    67   10
 19   20   20   42   25   23   22    69    3
 20   37   26   46   46   43   42    89   11
 21   28   16   24   37   36   36    87   17
 22   36   35   26   28   29   30    61   10
 23   21   49   33   32   32   33    82    3
 24   45   44   25   38   40   41    71   14
 25   45   11   21   24   24   24    91    3
 26   44   24   18   19   21   21    66    3
 27   26   33   22   28   29   29    73    9
 28   46   35   17   35   37   38    63   18
 29   49   42   41   39   39   39    70    9
 30   28   41   21   42   44   45    88   18
 31   26   14   38   22   20   19    62    4
 32   31   26   23   31   31   32    82   10
 33   25   20   39   47   45   44    93   18
 34   41   28   37   28   28   27    74    2
 35   19   50   22   41   43   45    87   16
 36   28   28   26   27   28   28    94    2
 37   19   42   28   31   31   32    62   12
 38   40   33   33   38   38   38    75   12
 39   35   45   13   32   36   38    87   10
 40   14   49   27   28   29   30    83    3
 41   15   23   38   24   22   21    66    4
 42   46   11   28   41   41   40    94   16
 43   35   35   22   38   39   40    67   19
 44   44   48   19   32   36   37    81    7
 45   29   28   35   43   42   42    84   16
 46   14   44   46   33   31   31    72    4
 47   15   36   38   40   39   39    94    9
 48   28   28   31   26   26   26    86    1
 49   21   42   25   27   28   29    67    8
 50   43   24   28   35   35   35    64   16
 51   50   19   35   24   23   23    71    0
 52   42   40   45   31   31   30    70    1
 53   45   27   39   41   41   40    68   16
 54   13   42   12   17   19   20    65    4
 55   37   35   10   38   42   43    96   17
 56   38   41   37   43   44   44    69   17
 57   12   40   15   30   32   34    96   10
 58   34   32   20   23   24   25    72    4
 59   17   25   37   26   25   24    64    7
 60   50   12   48   43   41   39    69   16
 61   29   16   50   47   42   40    97   11
 62   18   16   19   25   25   25    74   12
 63   33   39   42   31   30   30    76    1
 64   35   33   40   42   42   41    68   17
 65   27   42   21   36   38   39    87   12
 66   41   10   19   37   38   37    87   19
 67   13   39   27   45   45   46    97   18
 68   23   20   23   31   31   31    92   11
 69   37   23   39   31   30   29    78    4
 70   20   25   31   25   24   23    79    3
 71   26   14   19   17   17   17    78    2
 72   42   20   15   25   27   27    77    9
 73   32   32   16   23   25   25    84    3
 74   22   20   11   13   14   14    75    1
 75   16   48   36   40   40   41    85   10
 76   36   14   33   38   37   36    85   14
 77   27   17   26   22   22   21    81    3
 78   25   42   30   38   38   39    64   17
 79   25   35   42   27   26   26    63    4
 80   45   32   31   51   53   53    96   19
 81   10   17   23   26   24   24    98    7
 82   22   50   31   41   42   43    99    7
 83   28   29   42   49   48   47    82   20
 84   30   48   44   37   37   37    88    0
 85   18   29   46   49   45   44    98   13
 86   49   35   48   43   42   42    86    5
 87   50   17   20   33   35   35    95   10
 88   24   30   25   38   38   38    91   14
 89   11   15   25   33   32   31    93   15
 90   28   35   47   40   38   38    69   12
 91   37   36   31   42   43   43    84   14
 92   48   11   27   26   27   26    70    8
 93   39   15   43   39   37   35    84   10
 94   39   27   28   21   22   22    65    2
 95   43   37   24   40   42   43    84   14
 96   41   17   32   35   35   34    86   10
 97   15   32   38   30   29   29    69    8
 98   22   33   38   49   48   47    92   18
 99   38   27   16   31   33   34    90   10
100   27   49   31   38   39   40    82    9
101   27   44   25   26   28   28    73    4
102   47   13   27   38   38   37    92   13
103   46   27   25   35   37   37    97    7
104   48   16   44   40   38   37    72   13
105   15   38   21   20   21   21    65    4
106   45   17   13   26   29   29    83   10
107   39   26   27   44   45   44    86   19
108   29   21   14   29   31   31    77   15
109   18   27   30   36   35   35   100    9
110   41   22   46   43   41   40    77   13
111   37   31   41   46   45   44    87   13
112   38   39   44   56   55   55    89   19
113   50   26   24   28   29   29    78    5
114   29   50   39   44   45   45    88    9
115   32   38   48   36   34   34    85    0
116   17   21   46   38   35   34    70   14
117   31   29   42   39   38   37    83    9
118   41   16   29   27   27   26    84    4
119   34   45   35   35   36   36    72    8
120   31   15   25   34   33   33    88   13
121   11   29   29   28   27   27    75    9
122   33   11   15   29   30   29    87   14
123   43   46   35   46   48   48    72   18
124   46   36   13   16   19   20    60    1
125   49   39   24   31   33   34    71    8
126   20   40   15   16   18   19    67    1
127   18   30   43   41   39   38    84   12
128   35   35   15   27   30   31    95    4
129   26   23   43   43   40   39    86   13
130   15   30   15   21   22   23    99    2
131   35   41   27   30   32   32    78    5
132   30   44   16   39   42   44    98   13
133   49   45   33   37   38   39    73    8
134   50   15   47   51   48   46    97   13
135   27   21   22   31   31   31    80   13
136   22   36   11   19   21   23    85    2
137   43   19   13   20   22   23    72    6
138   23   27   43   37   34   34    79    9
139   11   18   44   36   32   30    90    8
140   14   34   35   26   24   25    70    4
141   11   17   26   23   22   22    63   10
142   47   35   49   49   48   47    64   20
143   37   17   47   42   39   37    80   12
144   48   15   40   39   38   37    66   16
