index 125
DMU 100
input 2
output 2
instance 5
DMU   i1   i2   o1   o2   eff  err
  1   42   48   41   40    64   11
  2   20   18   21   22    72    8
  3   15   11   16   17    86    6
  4   48   14   37   46    86   18
  5   23   28   28   27    70    9
  6   32   19   21   23    66    6
  7   23   35   22   19    61    2
  8   46   16   30   36    68   14
  9   25   29   45   44    89   20
 10   44   49   58   57    79   20
 11   16   48   48   39    87   13
 12   30   22   30   32    71   13
 13   21   38   48   42    96   15
 14   39   35   38   40    96    4
 15   15   15   10   10    62    1
 16   39   30   28   30    80    2
 17   18   29   36   33    94   11
 18   14   17   29   29    95   14
 19   15   18   29   28    73   16
 20   45   45   56   56    87   17
 21   23   19   33   34    89   15
 22   20   47   43   36    76   12
 23   48   38   39   42    90    3
 24   43   40   50   51    95   11
 25   13   48   32   24    76    2
 26   42   31   31   34    73    7
 27   44   39   48   49    80   16
 28   25   35   39   36    89   10
 29   15   36   26   22    61    7
 30   29   30   26   26    87    0
 31   39   28   40   43    73   18
 32   40   36   31   32    70    5
 33   47   46   58   58    93   15
 34   45   26   28   34    93    0
 35   21   16   26   27    62   15
 36   26   35   38   35    87    9
 37   48   13   19   29    83    2
 38   29   39   39   37    62   16
 39   37   24   31   34    91    6
 40   34   49   57   53    81   20
 41   47   44   56   57    99   12
 42   42   28   29   33    93    0
 43   33   10   20   27    97    5
 44   29   38   38   35    85    7
 45   25   26   32   32    77   12
 46   43   16   31   37    65   17
 47   20   38   40   36    61   19
 48   47   15   35   44    82   17
 49   21   34   44   40    90   16
 50   28   43   46   42    83   13
 51   25   12   24   27    77   12
 52   41   32   45   47    81   17
 53   22   24   23   22    85    3
 54   12   21   24   21    90    7
 55   40   27   30   33    95    1
 56   17   15   13   13    65    3
 57   32   18   20   24    87    2
 58   47   18   20   27    70    3
 59   47   35   44   47    92    9
 60   43   39   40   41    78    9
 61   21   44   48   42    80   17
 62   33   20   27   30    67   12
 63   39   23   28   32    81    6
 64   45   45   29   29    60    2
 65   33   18   29   33    85   11
 66   34   16   19   23    78    3
 67   20   43   54   47    95   18
 68   11   46   45   34    98    8
 69   41   16   21   27    74    5
 70   17   47   34   26    77    3
 71   38   38   51   51    97   14
 72   44   25   34   39    83   10
 73   23   24   34   34    76   16
 74   36   34   24   25    65    2
 75   30   39   32   30    62    9
 76   18   16   20   21    75    8
 77   38   33   35   36    64   13
 78   36   24   43   46    93   18
 79   34   29   30   31    65   10
 80   46   18   28   34    65   12
 81   26   38   42   39    73   16
 82   14   35   44   38    97   15
 83   15   44   47   40    81   17
 84   28   47   37   33    60   11
 85   39   48   48   46    70   16
 86   29   47   38   34    71    8
 87   25   41   51   46    96   15
 88   21   46   54   47    89   18
 89   28   28   21   21    73    1
 90   41   28   42   45    86   15
 91   45   49   38   37    63    8
 92   32   27   30   31    95    3
 93   15   15   22   22    69   12
 94   42   30   27   29    64    6
 95   28   32   30   29    91    2
 96   46   26   35   41    80   11
 97   29   31   34   34    63   15
 98   47   45   45   46    86    6
 99   40   17   42   49    97   20
100   21   24   22   21    60    8
