index 36
DMU 50
input 3
output 3
instance 6
DMU   i1   i2   i3   o1   o2   o3   eff  err
  1   42   40   11   28   27   28    60    9
  2   39   19   26   29   32   29    80    7
  3   47   46   18   34   33   34    66    9
  4   34   36   35   48   48   48    91   16
  5   32   46   19   33   31   33    65   12
  6   40   15   37   45   49   45    86   19
  7   30   36   25   48   47   48    95   19
  8   19   15   48   33   34   33    62   16
  9   17   45   36   41   36   40    96    9
 10   47   37   12   29   29   30    92    0
 11   23   41   44   41   40   41    67   17
 12   43   41   15   28   27   28    61    8
 13   11   12   46   29   30   28    77   11
 14   12   30   22   32   29   31   100   10
 15   20   38   18   36   33   35    80   15
 16   26   27   24   24   24   24    90    1
 17   20   34   12   18   16   18    62    4
 18   45   46   43   40   40   40    87    1
 19   23   43   27   37   35   37    61   18
 20   24   42   11   39   35   38    90   15
 21   22   22   14   32   32   32    83   16
 22   30   13   33   23   26   23    77    4
 23   35   19   35   20   22   20    65    1
 24   42   20   21   33   36   33    95    7
 25   23   17   28   24   26   24    86    5
 26   13   20   41   37   37   37    89   15
 27   45   40   11   40   40   41    82   14
 28   43   47   30   48   47   48    82   15
 29   48   16   38   39   44   40    80   13
 30   28   25   38   42   43   42    98   12
 31   36   30   12   20   20   20    66    3
 32   40   13   17   37   41   38    80   19
 33   39   50   42   40   38   39    83    3
 34   30   30   44   29   30   29    82    1
 35   37   23   32   35   37   35    73   13
 36   30   23   44   28   29   28    68    6
 37   44   21   33   34   38   34    96    3
 38   41   43   17   31   30   31    86    2
 39   23   19   49   44   46   44    96   15
 40   36   42   34   41   40   41    61   18
 41   26   38   20   35   32   34    90    9
 42   16   18   18   26   26   26    98    9
 43   45   42   26   52   51   52    92   17
 44   34   43   31   23   22   23    64    0
 45   44   40   47   41   42   41    86    4
 46   26   37   48   31   30   31    84    0
 47   15   32   46   27   26   27    68    6
 48   29   35   22   25   24   25    63    7
 49   18   31   17   30   28   30    75   13
 50   43   39   45   47   48   47    93    8
