index 182
DMU 20
input 4
output 4
instance 2
DMU   i1   i2   i3   i4   o1   o2   o3   o4   eff  err
  1   41   14   40   28   30   31   32   31    86    5
  2   45   48   47   22   49   47   51   48    79   17
  3   17   32   14   16   38   37   38   38    99   18
  4   16   11   28   14   27   26   28   26    84   12
  5   19   45   44   46   42   39   39   38    99    0
  6   10   13   46   30   31   28   30   27    87    7
  7   26   14   22   47   31   33   29   33    72   12
  8   31   30   30   27   25   25   25   25    82    1
  9   48   34   33   31   35   36   36   37    84    6
 10   37   43   19   40   35   36   34   37    65   13
 11   43   29   46   32   36   36   37   36    73    9
 12   41   19   21   26   33   35   34   35    66   17
 13   31   35   49   12   34   31   36   31    67   12
 14   47   44   15   31   27   29   28   30    67    6
 15   48   14   46   15   41   41   45   41    95   14
 16   34   44   35   34   35   35   35   35    70    9
 17   23   19   46   16   18   16   20   16    64    1
 18   30   28   17   31   33   34   32   35   100    7
 19   37   45   34   20   28   27   29   27    79    1
 20   19   34   15   29   23   24   22   24    86    2
