index 424
DMU 200
input 4
output 4
instance 4
DMU   i1   i2   i3   i4   o1   o2   o3   o4   eff  err
  1   24   42   10   32   42   42   40   41    94   16
  2   10   11   48   40   21   23   25   23    66    4
  3   21   21   22   34   27   28   29   27    92    5
  4   38   50   11   33   35   34   32   34    92    4
  5   37   38   46   30   38   39   38   39    95    3
  6   43   39   44   42   49   49   50   49    98    8
  7   13   46   31   26   40   42   39   42    75   19
  8   14   18   36   49   31   33   36   33    99    3
  9   29   33   43   26   37   38   37   38    63   17
 10   42   16   43   39   30   29   32   29    68    6
 11   31   14   36   34   34   34   37   34    85   10
 12   11   16   23   41   22   23   25   23    70    7
 13   40   13   13   19   25   21   24   22   100    2
 14   13   30   30   39   21   23   23   22    63    4
 15   24   29   17   14   36   35   33   35    97   15
 16   17   32   10   41   27   28   28   27    91    4
 17   49   26   26   19   23   21   21   22    68    2
 18   46   42   33   38   46   45   45   45    82   13
 19   16   42   42   23   40   43   40   43    90   14
 20   48   36   49   31   47   47   47   47    91   10
 21   34   30   11   48   45   43   46   43    97   14
 22   39   27   45   39   41   40   42   41    90    7
 23   32   50   15   43   38   38   37   37    99    3
 24   19   19   21   27   32   33   33   33    63   19
 25   49   18   13   25   32   28   30   28    92    6
 26   22   15   16   35   24   23   25   23    71    8
 27   30   41   23   13   41   41   37   41    92   16
 28   26   23   31   33   42   42   43   42    85   18
 29   40   50   21   17   41   40   37   40    79   15
 30   23   33   36   17   20   21   20   21    65    3
 31   12   47   14   32   33   35   32   34    62   17
 32   34   19   12   14   39   36   37   37   100   18
 33   41   34   49   27   34   34   34   35    83    3
 34   22   37   22   46   42   43   43   42    89   14
 35   43   36   43   46   31   30   31   31    61    5
 36   47   12   27   20   37   34   36   35    63   19
 37   14   16   27   47   35   36   39   36    84   14
 38   10   42   37   10   39   43   38   43    93   18
 39   42   42   47   49   33   33   34   33    63    5
 40   19   40   32   37   23   24   23   24    73    0
 41   12   50   45   18   43   47   42   47    90   17
 42   41   34   20   46   38   37   38   37    61   16
 43   30   26   36   28   35   35   35   35    90    8
 44   26   22   29   12   42   42   41   42    99   20
 45   45   19   44   25   39   37   39   38    98    6
 46   19   20   12   50   25   25   28   25    80    5
 47   24   37   29   23   27   28   25   27    92    1
 48   18   34   40   50   32   34   35   34    70    8
 49   20   21   28   41   36   37   40   37    98   10
 50   11   43   24   49   22   24   24   24    63    3
 51   16   45   25   18   29   32   27   31    97    5
 52   18   34   40   13   24   26   24   26    66    8
 53   27   35   40   37   46   47   47   47   100   12
 54   21   36   30   48   45   47   47   46    99   12
 55   50   36   16   33   48   45   46   45    88   17
 56   48   25   42   13   33   31   30   32    94    2
 57   50   13   33   37   47   44   48   45    81   19
 58   49   44   34   47   47   46   47   46    93    6
 59   22   36   29   15   20   21   19   21    78    1
 60   20   39   30   47   41   43   43   42    88   12
 61   41   45   44   42   45   45   45   45    61   19
 62   50   26   18   49   40   37   40   37    65   15
 63   44   34   46   16   30   29   28   30    85    0
 64   49   41   25   28   31   30   29   30    71    5
 65   36   39   12   44   38   37   38   36    83   10
 66   34   46   30   36   34   35   33   34    80    5
 67   33   24   42   27   41   41   42   42    78   17
 68   28   16   25   30   28   28   29   28    69   11
 69   35   36   14   48   33   32   33   31    88    3
 70   22   37   23   36   32   33   32   32    79    9
 71   32   11   41   48   40   40   45   40    92   10
 72   24   37   24   19   27   27   25   27    84    5
 73   11   36   11   46   23   24   24   23    73    4
 74   12   23   38   29   34   36   36   36    98   10
 75   22   30   50   22   34   35   34   36    70   13
 76   32   45   25   32   43   43   41   43    86   14
 77   40   13   14   25   35   32   35   32    99   11
 78   33   22   43   48   29   29   32   29    74    2
 79   50   47   34   10   35   34   31   34    63   12
 80   42   23   18   21   28   26   27   26    62   11
 81   21   28   28   11   33   34   32   34    89   14
 82   47   23   49   36   33   32   34   33    75    4
 83   38   49   34   26   41   41   38   41    83   10
 84   21   19   33   41   31   32   34   32    96    4
 85   36   21   13   28   33   32   33   32    67   16
 86   25   19   49   44   43   44   47   45    88   14
 87   41   13   50   38   37   36   39   37    81    8
 88   10   38   40   33   38   41   40   41    75   17
 89   45   27   30   50   38   36   39   36    77    8
 90   34   21   33   41   46   46   49   46    97   15
 91   27   19   43   20   25   25   25   26    78    4
 92   15   19   29   15   23   24   24   25    82    8
 93   31   20   20   45   33   32   35   32    88    7
 94   35   27   49   14   41   41   40   42    98   11
 95   48   46   28   34   44   43   42   43    65   18
 96   17   35   36   36   24   25   25   25    66    4
 97   26   45   29   40   46   48   46   47    79   19
 98   39   30   33   24   29   28   28   28    77    4
 99   43   17   46   22   21   20   21   20    61    1
100   31   30   17   29   40   39   39   39    79   18
101   10   48   16   36   29   33   29   31    99    3
102   21   27   33   17   29   30   29   30    71   12
103   36   44   30   25   31   31   29   31    61   10
104   43   31   37   45   41   40   42   40    76   11
105   42   32   32   10   38   37   35   37    67   18
106   49   11   21   32   26   22   26   23    68    5
107   16   45   38   43   37   40   39   39    77   11
108   14   17   40   31   23   24   25   24    73    5
109   43   40   44   31   39   39   38   39    81    7
110   48   42   17   24   42   41   39   40    65   20
111   29   17   19   28   33   32   34   32    81   14
112   42   10   29   43   28   26   30   27    69    6
113   34   40   21   38   42   41   41   41    94   10
114   36   32   45   24   42   42   41   42    93   10
115   18   47   33   28   28   30   27   30    76    5
116   18   14   23   21   21   21   22   21    94    3
117   28   46   29   48   30   31   30   30    69    4
118   37   39   11   36   29   28   28   27    92    0
119   37   30   36   12   39   38   36   39    96   11
120   39   36   13   45   34   33   34   32    79    7
121   43   26   41   49   41   40   43   40    79    9
122   44   27   24   10   34   32   31   32    68   15
123   30   28   24   45   31   31   33   31    98    0
124   16   25   32   17   28   30   29   30    67   14
125   20   25   15   40   38   38   39   37    74   19
126   26   27   27   12   31   31   29   31    77   13
127   49   37   40   46   58   56   58   57    91   18
128   27   26   39   40   44   45   46   45    92   14
129   16   22   48   15   38   40   39   41    96   15
130   19   19   37   46   45   47   50   47    96   17
131   33   14   34   12   29   28   28   29    93    7
132   31   12   16   33   25   24   26   24    76    7
133   36   35   11   39   30   28   29   27    91    1
134   37   43   39   38   46   47   46   47    75   17
135   35   45   45   42   39   40   39   40    66   12
136   27   34   29   14   30   30   28   30    73   11
137   39   29   17   21   35   33   32   33    85   11
138   16   22   30   30   37   38   39   38    77   19
139   46   38   16   16   27   25   23   25    79    3
140   20   16   20   48   38   38   41   38    77   18
141   13   28   24   43   43   45   46   44   100   17
142   19   37   33   22   26   28   26   28    83    4
143   39   42   16   36   39   38   37   37    99    5
144   35   42   45   46   36   37   37   37    66    9
145   42   17   45   37   35   34   36   34    70   10
146   23   20   34   24   28   28   29   28    64   12
147   49   20   25   33   30   27   30   28    88    1
148   22   33   19   21   28   29   27   28    69   12
149   47   46   37   24   26   26   24   26    65    1
150   35   38   42   17   42   43   40   43    96   11
151   13   31   23   11   19   20   18   20    65    7
152   13   48   49   39   39   43   40   42    80   11
153   45   36   17   10   24   22   20   22    80    1
154   39   11   25   46   49   47   52   47    94   20
155   45   10   37   43   50   48   53   48    90   19
156   21   14   18   38   41   40   44   40    99   18
157   18   39   22   49   29   30   30   30    73    6
158   24   33   45   14   26   27   25   28    85    2
159   18   14   31   31   27   27   29   27    81    8
160   49   37   34   40   33   32   32   32    73    3
161   36   40   45   25   46   47   45   47    75   19
162   35   23   37   31   43   42   44   43    94   13
163   36   19   35   27   30   29   31   30    82    6
164   16   16   32   30   33   34   35   34    74   16
165   42   18   33   12   28   26   26   27    80    6
166   43   24   41   11   34   32   31   33    91    6
167   12   13   16   24   31   31   32   31    72   19
168   50   12   49   15   35   34   35   35    60   16
169   32   37   42   49   35   36   36   36    61   11
170   25   43   26   25   39   40   37   39    84   14
