index 93
DMU 10
input 5
output 5
instance 3
DMU   i1   i2   i3   i4   i5   o1   o2   o3   o4   o5   eff  err
  1   47   42   13   20   44   35   36   38   37   36    95    5
  2   29   25   49   38   14   39   37   36   35   37    95    7
  3   31   29   44   36   15   43   41   40   39   41    89   13
  4   50   35   33   29   31   27   27   27   26   27    61    5
  5   25   27   39   40   32   31   32   31   32   32    72    8
  6   48   13   20   45   29   29   29   29   29   30    83    2
  7   33   22   12   35   47   22   24   24   26   25    70    3
  8   41   45   34   21   39   42   41   43   41   42    95    8
  9   22   30   37   30   17   26   25   25   25   25    71    6
 10   42   39   16   38   24   36   36   36   35   36    74   12
