index 512
DMU 250
input 3
output 3
instance 2
DMU   i1   i2   i3   o1   o2   o3   eff  err
  1   44   36   33   40   39   40    66   15
  2   36   45   11   36   40   39    92    9
  3   19   26   22   14   15   14    62    0
  4   13   19   40   23   22   21    82    2
  5   48   32   30   46   43   46    96   11
  6   36   18   47   43   38   41    74   17
  7   16   47   42   40   45   41    67   17
  8   50   34   27   46   44   47    83   16
  9   18   43   16   39   44   41    80   19
 10   15   34   33   25   27   25    69    6
 11   40   49   38   33   35   34    63    7
 12   34   15   14   31   28   31    85   13
 13   23   13   39   40   37   38    81   19
 14   35   14   19   23   20   23    80    5
 15   20   50   10   36   45   40    97   12
 16   11   27   50   36   36   34    84   10
 17   12   41   45   49   54   48    97   17
 18   33   26   20   42   41   43    85   20
 19   39   38   30   46   46   46    81   17
 20   49   19   30   29   24   29    86    1
 21   13   41   42   44   49   44    96   13
 22   43   40   44   49   48   49    87   12
 23   46   35   28   34   33   35    79    6
 24   24   24   13   18   19   19    75    3
 25   19   39   16   33   38   35    84   13
 26   21   35   38   34   36   34    76   10
 27   24   30   21   34   36   34   100    9
 28   25   35   31   32   34   32    96    3
 29   33   19   49   29   25   27    74    3
 30   34   24   34   29   27   28    61   10
 31   36   22   42   47   43   45    85   18
 32   24   31   39   39   40   39    99    8
 33   15   13   42   33   30   30    97    9
 34   27   37   46   38   39   37    99    1
 35   37   43   26   29   31   30    67    6
 36   39   47   13   19   22   22    62    0
 37   24   41   14   30   35   32    81   10
 38   14   50   41   30   35   30    69    6
 39   43   18   15   29   26   30    77   10
 40   30   38   26   33   35   34    63   14
 41   12   18   12   19   21   20    98    6
 42   29   48   14   33   37   35    63   15
 43   46   13   23   31   26   31    73   11
 44   45   45   40   53   54   54    87   16
 45   14   17   35   24   23   22    78    6
 46   40   23   33   35   32   35    78   10
 47   27   33   21   26   27   26    63    9
 48   37   13   49   39   33   37    82   11
 49   46   50   18   34   37   36    69    9
 50   35   21   39   33   29   31    86    5
 51   45   38   17   34   35   36    75   10
 52   36   19   36   38   34   37    73   15
 53   15   13   13   21   21   21    98    8
 54   43   16   14   31   27   32    92    9
 55   11   37   35   30   34   30    80    8
 56   26   17   24   30   28   30    94    9
 57   25   22   44   47   45   45    97   17
 58   14   47   43   46   51   46    79   19
 59   20   42   14   23   29   25    90    1
 60   19   16   37   39   37   38    81   19
 61   32   23   44   34   32   32    61   13
 62   46   37   31   42   40   42    97    5
 63   40   26   48   50   46   48    96   13
 64   45   41   17   26   27   28    73    2
 65   35   23   45   42   38   40    91   10
 66   34   39   48   44   44   43    71   15
 67   43   31   32   34   32   34    73    8
 68   19   15   10   23   23   24    64   14
 69   50   49   17   39   42   42    90    6
 70   18   27   49   37   36   35    79   11
 71   11   46   15   28   35   30    78   10
 72   47   40   20   45   46   47    99   11
 73   40   44   49   40   40   39    82    3
 74   17   47   12   22   30   25    93    0
 75   36   42   25   35   37   37    84    7
 76   31   15   34   32   27   30    89    7
 77   22   21   23   33   33   33    91   13
 78   33   14   35   31   26   29    93    5
 79   18   42   35   32   37   32    95    2
 80   36   32   30   23   22   23    70    0
 81   42   32   22   38   37   39    67   17
 82   42   33   37   47   46   47    73   20
 83   38   48   11   36   39   38    62   17
 84   31   35   37   34   35   34    73    9
 85   47   28   11   33   31   34    60   16
 86   45   45   11   37   40   40    84   10
 87   14   36   32   43   47   43    99   16
 88   40   20   30   43   39   42    84   17
 89   43   40   28   35   35   36    90    2
 90   21   18   22   35   34   35    74   20
 91   39   17   22   23   20   23    65    6
 92   29   36   29   30   32   31    75    7
 93   24   20   28   33   32   32    95   10
 94   11   20   48   20   19   18    63    2
 95   20   18   47   28   26   26    82    4
 96   29   36   14   21   23   23    71    3
 97   28   15   42   33   29   31    92    6
 98   14   25   43   41   42   40    79   19
 99   27   43   32   42   45   43    81   15
100   44   17   26   42   37   41    82   18
101   20   28   33   24   25   24    77    3
102   32   32   16   37   39   39    79   17
103   37   13   39   29   22   26    93    0
104   33   28   14   21   21   22    69    4
105   44   44   20   35   37   37    89    4
106   35   39   23   41   43   43    71   19
107   36   23   23   33   31   33    96    7
108   36   29   26   39   38   39    77   16
109   38   48   23   35   38   37    90    3
110   41   41   18   36   38   38    95    5
111   50   18   16   30   26   30    75    9
112   48   29   42   33   30   32    61    8
113   12   38   18   29   35   30    99    7
114   49   18   33   35   28   33    87    5
115   27   14   46   33   30   31    70   12
116   20   46   47   41   45   41    87    8
117   32   29   28   31   31   32    86    6
118   20   33   34   28   30   28    76    6
119   16   16   18   24   24   24    97    8
120   28   19   44   39   36   37    75   15
121   33   20   38   30   28   29    62   11
122   39   46   33   49   51   50    92   13
123   41   43   19   32   35   35    83    5
124   45   20   49   50   44   47    86   16
125   35   21   40   48   44   46    87   19
126   38   17   12   37   35   38    84   19
127   41   39   48   54   53   53    81   19
128   30   47   29   41   44   42    74   15
129   12   47   27   26   31   27    62    9
130   29   49   24   46   52   49    95   15
131   18   29   28   33   35   33    80   13
132   24   19   19   25   25   25    70   11
133   20   16   41   38   36   36    82   16
134   14   46   32   47   53   48    95   18
135   44   47   34   40   42   41    67   13
136   21   15   30   30   28   29    79   12
137   37   43   41   43   44   43    96    4
138   12   17   18   23   24   23    82   10
139   45   32   40   43   40   42    84   10
140   20   20   49   35   33   32    80   10
141   20   22   25   26   26   26    93    5
142   15   28   27   30   32   30    79   12
143   15   13   39   40   37   37    93   18
144   26   28   17   24   25   25    70    8
145   40   31   30   30   28   30    88    0
146   42   13   16   29   24   29    84    9
147   40   21   43   49   45   47    85   19
148   26   11   40   22   18   20    71    3
149   42   21   38   32   29   31    61   11
150   38   22   50   45   40   42    91   10
151   34   31   41   31   30   30    75    4
152   33   47   34   30   33   31    75    2
153   26   37   49   32   33   31    79    2
154   13   22   41   36   36   35    93   12
155   45   39   50   46   44   45    68   15
156   44   31   12   35   35   37    98    8
157   28   29   46   53   51   51    96   19
158   18   32   20   42   46   43   100   19
159   24   23   12   23   24   24    90    6
160   43   35   15   34   35   36    71   13
161   23   37   25   30   33   31    90    5
162   28   34   27   37   39   38    79   14
163   22   27   19   18   19   18    61    4
164   35   50   26   45   48   46    74   18
165   34   48   49   38   40   38    67    9
166   39   30   33   36   35   36    65   14
167   12   29   31   32   34   32    64   17
168   11   22   22   16   17   16    70    3
169   20   26   18   30   32   31    95   10
170   32   40   24   43   45   44    82   17
171   13   35   12   23   26   24    61   11
172   39   27   34   38   35   37    86    9
173   18   10   44   29   25   26    90    6
174   39   11   18   36   32   36    80   18
175   14   11   27   31   29   29    92   14
176   31   31   41   36   35   35    60   15
177   37   49   21   44   49   47    99   10
178   22   21   44   31   30   30    60   13
179   13   49   11   31   39   34    80   13
